"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.SE","r.grf","r.SE.grf","t0.grf"
"2020-02-07","Suffolk","Massachusetts",25025,1,0,2020-02-07,17,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
"2020-02-08","Suffolk","Massachusetts",25025,1,0,2020-02-08,18,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
"2020-02-09","Suffolk","Massachusetts",25025,1,0,2020-02-09,19,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
"2020-02-10","Suffolk","Massachusetts",25025,1,0,2020-02-10,20,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
"2020-02-11","Suffolk","Massachusetts",25025,1,0,2020-02-11,21,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
"2020-02-12","Suffolk","Massachusetts",25025,1,0,2020-02-12,22,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
"2020-02-13","Suffolk","Massachusetts",25025,1,0,2020-02-13,23,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
"2020-02-14","Suffolk","Massachusetts",25025,1,0,2020-02-14,24,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
"2020-02-15","Suffolk","Massachusetts",25025,1,0,2020-02-15,25,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
"2020-02-16","Suffolk","Massachusetts",25025,1,0,2020-02-16,26,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
"2020-02-17","Suffolk","Massachusetts",25025,1,0,2020-02-17,27,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
"2020-02-18","Suffolk","Massachusetts",25025,1,0,2020-02-18,28,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
"2020-02-19","Suffolk","Massachusetts",25025,1,0,2020-02-19,29,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
"2020-02-20","Suffolk","Massachusetts",25025,1,0,2020-02-20,30,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
"2020-02-21","Suffolk","Massachusetts",25025,1,0,2020-02-21,31,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
"2020-02-22","Suffolk","Massachusetts",25025,1,0,2020-02-22,32,0,1,0,-0.0639555071890142,0.00245982719957747,0.00142018189583602,0.00237350358853397,0.00498566201645255,25.8181515050988
